iter	Passed	Remaining
952	4089	201
953	4092	197
954	4096	193
955	4100	188
956	4103	184
957	4107	180
958	4111	175
959	4114	171
960	4118	167
961	4122	162
962	4126	158
963	4129	154
964	4133	149
965	4138	145
966	4142	141
967	4147	137
968	4150	132
969	4154	128
970	4157	124
971	4161	119
972	4165	115
973	4168	111
974	4172	106
975	4176	102
976	4180	98
977	4184	94
978	4188	89
979	4192	85
980	4195	81
981	4199	76
982	4203	72
983	4207	68
984	4211	64
985	4215	59
986	4219	55
987	4223	51
988	4227	47
989	4230	42
990	4234	38
991	4237	34
992	4241	29
993	4245	25
994	4249	21
995	4253	17
996	4257	12
997	4261	8
998	4265	4
999	4269	0
